date,suburb,address,action,price,profile,bed,url,bath,car,size,photo
7/09/2019,Chatswood,6 Blakesley St,Sold,0,House,3,https://www.domain.com.au/6-blakesley-street-chatswood-nsw-2067-2015454215,2,2,562,9
7/09/2019,Chatswood,9 Ivy St,Sold,0,House,3,https://www.domain.com.au/9-ivy-street-chatswood-nsw-2067-2015523156,1,1,619,12
7/09/2019,Cherrybrook,40 John Rd,Sold prior to auction,0,House,3,https://domain.com.au/property-profile/40-john-road-cherrybrook-nsw-2126,1,2,,
7/09/2019,Cherrybrook,16 Nixon Pl,Sold prior to auction,1660000,House,5,https://www.domain.com.au/16-nixon-place-cherrybrook-nsw-2126-2015505920,3,2,7919,14
7/09/2019,Chifley,1359 Anzac Pde,Sold,2140000,House,5,https://www.domain.com.au/1359-anzac-parade-chifley-nsw-2036-2015505104,3,4,561,11
7/09/2019,Chifley,197 Franklin St,Sold,1370000,House,4,https://www.domain.com.au/197-franklin-street-chifley-nsw-2036-2015522537,1,4,641,4
7/09/2019,Chippendale,44/5A Knox St,Sold prior to auction,850000,Unit,2,https://www.domain.com.au/44-5a-knox-street-chippendale-nsw-2008-2015520441,1,1,,8
7/09/2019,Colebee,9 Woodhall Cl,Sold prior to auction,1250000,House,4,https://www.domain.com.au/9-woodhall-close-colebee-nsw-2761-2015517508,3,2,9379,20
7/09/2019,Concord,10 Augusta St,Sold,2222000,House,4,https://www.domain.com.au/10-augusta-street-concord-nsw-2137-2015508450,2,2,556,12
7/09/2019,Concord,11 Bell St,Sold,1220000,House,3,https://www.domain.com.au/11-bell-street-concord-nsw-2137-2015524617,1,2,367,6
7/09/2019,Coogee,6/109 Arden St,Sold,1730000,Unit,2,https://www.domain.com.au/6-109-arden-street-coogee-nsw-2034-2015521863,1,1,,6
7/09/2019,Crows Nest,105/66 Atchison St,Sold prior to auction,1300000,Unit,2,https://www.domain.com.au/105-66-atchison-street-crows-nest-nsw-2065-2015528552,2,1,,5
7/09/2019,Croydon,55 Holborow St,Sold,1905000,House,4,https://www.domain.com.au/55-holborow-street-croydon-nsw-2132-2015516697,2,2,486,8
7/09/2019,Croydon,8 Macgregor St,Sold,2790000,House,5,https://www.domain.com.au/8-macgregor-street-croydon-nsw-2132-2015516571,3,4,556,12
7/09/2019,Croydon Park,3/122-132 Georges River Rd,Sold prior to auction,590000,Unit,2,https://www.domain.com.au/3-122-132-georges-river-road-croydon-park-nsw-2133-2015521683,1,1,,8
7/09/2019,Darling Point,10/16-18 Eastbourne Rd,Sold prior to auction,0,Unit,2,https://www.domain.com.au/10-16-18-eastbourne-road-darling-point-nsw-2027-2015526816,1,1,,5
7/09/2019,Darlinghurst,399 South Dowling St,Sold prior to auction,2108000,House,3,https://www.domain.com.au/399-south-dowling-street-darlinghurst-nsw-2010-2015505986,3,1,108,24
7/09/2019,Dee Why,29 May Rd,Sold,2170000,House,4,https://www.domain.com.au/29-may-road-dee-why-nsw-2099-2015525753,3,2,868,8
7/09/2019,Double Bay,7/9 Manning Rd,Sold prior to auction,1100000,Unit,1,https://www.domain.com.au/7-9-manning-road-double-bay-nsw-2028-2015510251,1,,,18
7/09/2019,Drummoyne,3/59 Wrights Rd,Sold,1148000,Unit,2,https://www.domain.com.au/3-59-wrights-road-drummoyne-nsw-2047-2015519784,1,1,,9
7/09/2019,Dulwich Hill,2706/6 Grove St,Sold prior to auction,860000,Unit,2,https://www.domain.com.au/2706-6-grove-street-dulwich-hill-nsw-2203-2015521485,1,1,97,14
7/09/2019,Earlwood,17/78 Undercliffe Rd,Sold,810000,Unit,3,https://www.domain.com.au/17-78-undercliffe-road-earlwood-nsw-2206-2015523285,1,1,,9
7/09/2019,Eastwood,2/11-13 Clanalpine St,Sold,1350000,House,3,https://www.domain.com.au/2-11-clanalpine-street-eastwood-nsw-2122-2015526342,2,2,195,8
7/09/2019,Eastwood,11 Denman St,Sold,2595000,House,6,https://www.domain.com.au/11-denman-street-eastwood-nsw-2122-2015524399,3,2,767,10
7/09/2019,Eastwood,9 Erina St,Sold prior to auction,1380000,House,3,https://www.domain.com.au/9-erina-street-eastwood-nsw-2122-2015506242,2,2,,9
7/09/2019,Eastwood,60 Lovell Rd,Sold,2200000,House,7,https://www.domain.com.au/60-lovell-road-eastwood-nsw-2122-2015508915,4,2,7145,12
7/09/2019,Edensor Park,5 Tulloch Pl,Sold,771500,House,5,https://www.domain.com.au/5-tulloch-place-edensor-park-nsw-2176-2015529886,2,2,607,9
7/09/2019,Elizabeth Bay,5/4 Billyard Av,Sold,2970000,Unit,3,https://www.domain.com.au/5-4-billyard-avenue-elizabeth-bay-nsw-2011-2015521813,2,1,,18
7/09/2019,Epping,9 Arkena Av,Sold prior to auction,1500000,House,5,https://www.domain.com.au/9-arkena-avenue-epping-nsw-2121-2015526345,3,1,7335,12
7/09/2019,Epping,14/12-14 Carlingford Rd,Sold prior to auction,700000,Unit,2,https://www.domain.com.au/14-12-14-carlingford-road-epping-nsw-2121-2015314614,2,1,,6
7/09/2019,Epping,19B Chester St,Sold prior to auction,1736000,Semi,4,https://www.domain.com.au/19b-chester-street-epping-nsw-2121-2015508697,2,2,,9
7/09/2019,Epping,2 Crown St,Sold,2530000,House,3,https://www.domain.com.au/2-crown-street-epping-nsw-2121-2015533367,2,2,4023,10
