host_listings_count,host_total_listings_count,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month
6,6,5,1,5,255,1,14,1,4,14,14,3.2,14,30,60,87,359,0,0,0,,,,,,,,7,0,7,
6,6,1,1,1,87,1,14,1,4,14,14,3.2,14,18,45,69,335,0,0,0,,,,,,,,7,0,7,
6,6,3,1,3,167,1,7,1,4,7,7,3.2,7,29,57,84,343,0,0,0,,,,,,,,7,0,7,
6,6,2,1,1,143,1,7,1,4,7,7,3.2,7,0,0,0,0,0,0,0,,,,,,,,7,0,7,
6,6,4,1,2,200,1,90,1,4,90,90,3.2,90,24,54,81,352,0,0,0,,,,,,,,7,0,7,
6,6,5,1,5,255,1,1125,1,4,1125,1125,3.2,1125,0,0,0,0,0,0,0,,,,,,,,7,0,7,
1,1,2,1,0,69,1,28,1,4,3,28,1.9,27.1,30,60,90,344,1,1,0,100,10,10,10,10,10,10,5,0,5,0.56
1,1,2,2,4,69,1,1125,1,1,1125,1125,1,1125,1,1,1,1,0,0,0,,,,,,,,5,0,5,
1,1,4,1,0,149,1,28,1,3,3,28,1.9,27.1,30,60,90,343,0,0,0,,,,,,,,5,0,5,
3,3,2,1,1,50,1,1125,1,1,1125,1125,1,1125,0,0,21,296,74,0,0,97,10,10,10,10,10,9,3,1,2,0.72
8,8,4,1,1,82,1,28,1,5,2,28,2,25.3,0,0,0,0,75,0,0,96,10,10,10,10,10,10,2,2,0,0.72
8,8,4,3,5,104,1,28,1,7,2,28,2.3,24.4,28,58,88,363,62,2,0,89,9,9,9,10,10,9,2,2,0,0.65
1,1,3,2,3,150,2,7,2,2,7,7,2,7,0,0,21,296,2,0,0,100,10,10,10,10,10,10,1,1,0,0.02
7,7,2,,1,81,1,30,1,1,30,30,1,30,0,0,0,264,259,15,0,92,9,10,10,10,10,9,3,3,0,2.52
7,7,4,1,2,99,1,30,1,1,30,30,1,30,0,11,31,169,337,32,0,94,10,9,10,10,10,9,3,3,0,3.22
1,1,2,1,1,71,2,10,2,2,10,10,2,10,23,51,75,254,521,43,5,99,10,10,10,10,10,10,1,1,0,4.97
6,6,6,2,3,100,2,50,2,2,50,50,2,50,0,0,0,0,100,63,0,95,,,,,,,4,3,1,6.2
4,4,6,3,4,164,3,270,3,3,270,270,3,270,27,57,84,359,84,3,0,93,10,9,9,9,10,9,2,2,0,0.84
4,4,5,2,3,132,2,180,2,3,180,180,2,180,0,0,0,0,119,2,0,96,10,10,10,10,10,10,4,4,0,1.16
6,6,6,2,1,85,2,30,2,2,30,30,2,30,0,0,0,0,22,0,0,89,10,10,9,9,9,9,4,3,1,0.22
1,1,2,1,2,50,2,40,2,2,40,40,2,40,27,54,68,343,58,0,0,98,10,10,10,10,10,10,1,0,1,0.57
6,6,2,1,0,95,2,7,2,2,7,7,2,7,0,0,0,0,41,0,0,93,10,10,9,10,9,9,4,3,1,0.42
2,2,4,2,2,100,3,1125,3,3,1125,1125,3,1125,1,1,1,1,38,2,0,92,10,9,10,10,10,9,1,1,0,0.37
1,1,2,1,0,40,2,31,2,2,1125,1125,2,1125,0,0,17,292,68,1,0,97,10,10,10,10,9,9,1,0,1,0.68
1,1,1,1,0,100,1,28,1,3,3,28,1.9,27.1,30,60,90,343,0,0,0,,,,,,,,5,0,5,
5,5,2,1,1,88,7,14,7,7,1125,1125,7,1125,0,0,0,0,76,0,0,96,10,10,10,10,10,10,2,2,0,0.83
12,12,3,1,2,70,1,365,1,1,365,365,1,365,27,49,79,79,4,0,0,95,10,10,10,10,9,10,2,0,2,0.04
12,12,2,1,2,80,1,365,1,1,365,365,1,365,0,0,0,0,3,0,0,73,10,10,10,10,10,10,2,0,2,0.04
6,6,6,2,3,85,2,40,2,2,40,40,2,40,0,0,0,0,74,0,0,91,10,9,9,10,9,9,4,3,1,0.81
3,3,6,2,3,121,2,31,2,4,1125,1125,2.1,1125,30,60,86,176,86,8,0,95,10,10,10,10,9,10,3,3,0,0.86
1,1,2,1,1,40,2,5,2,2,5,5,2,5,0,0,0,110,396,5,0,97,10,10,10,10,10,10,1,0,1,3.79
2,2,2,1,1,70,2,1125,2,2,1125,1125,2,1125,12,42,69,160,31,0,0,99,10,10,10,10,10,10,1,1,0,0.31
2,2,4,1,2,214,3,14,3,3,14,14,3,14,0,0,0,0,1,0,0,60,4,4,10,10,10,6,2,1,1,0.02
1,1,2,1,1,100,3,8,3,3,8,8,3,8,0,0,0,0,20,0,0,94,10,8,10,10,10,9,1,1,0,0.2
11,11,4,2,3,99,5,1125,4,5,1125,1125,5,1125,0,12,14,14,97,3,0,91,10,10,10,10,10,10,1,1,0,1.04
0,0,1,1,1,50,2,1125,2,2,1125,1125,2,1125,0,0,0,0,76,1,0,98,10,10,10,10,9,10,2,0,2,0.77
2,2,2,1,1,30,2,26,2,2,1125,1125,2,1125,0,0,0,0,275,8,0,98,10,10,10,10,10,10,2,0,2,2.67
1,1,2,,1,94,4,90,4,4,1125,1125,4,1125,13,43,73,253,119,4,0,95,10,10,10,10,10,10,1,1,0,1.53
3,3,2,1,1,60,1,1125,1,1,1125,1125,1,1125,30,60,90,365,83,1,0,95,10,10,10,10,9,9,2,0,2,0.8
3,3,1,1,1,45,1,1125,1,1,1125,1125,1,1125,9,39,69,344,53,1,0,98,10,10,10,10,10,9,2,0,2,0.52
1,1,4,2,3,100,1,180,1,1,1125,1125,1,1125,0,0,0,0,237,5,0,99,10,10,10,10,10,10,1,0,1,4.6
3,3,3,1,2,100,1,365,1,1,365,365,1,365,30,60,90,180,31,0,0,88,9,8,9,9,9,9,3,0,3,0.31
15,15,2,1,1,86,1,1125,1,1,1125,1125,1,1125,29,59,89,364,5,0,0,95,9,9,10,10,8,8,6,2,4,0.05
6,6,2,1,1,21,2,10,2,2,10,10,2,10,24,39,45,45,642,26,3,95,10,10,10,10,10,10,5,1,4,6.22
1,1,4,2,2,69,2,28,2,2,1125,1125,2,1125,0,0,0,0,120,8,0,99,10,10,10,10,10,10,1,1,0,2.83
