,host_listings_count,host_total_listings_count,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,latitude,longitude
4333,3,3,1,1,1,41,6,45,6,6,45,45,6,45,27,57,87,267,9,0,0,97,10,10,10,10,10,10,1,0,1,0.44,55.93741,-3.19392
4739,1,1,4,1,2,41,2,30,2,2,30,30,2,30,23,53,83,293,60,23,0,88,9,9,9,9,10,9,1,1,0,3.42,55.94262,-3.18331
4802,3,3,2,1,2,41,5,31,3,5,31,31,4.4,31,28,58,88,178,0,0,0,0,0,0,0,0,0,0,3,1,2,0,55.90744,-3.21062
5073,1,1,2,1,1,41,2,30,2,2,30,30,2,30,12,27,44,247,88,52,5,97,10,9,9,10,10,10,1,1,0,5.51,55.95785,-3.17957
5082,3,3,2,1,1,41,7,1125,7,7,1125,1125,7,1125,30,60,90,90,10,2,0,82,9,9,9,9,9,9,1,0,1,0.63,55.95974,-3.17384
5172,0,0,3,1,2,41,2,90,2,2,90,90,2,90,0,0,0,0,19,14,0,99,10,10,10,10,10,10,1,1,0,1.26,55.9538,-3.15537
5197,0,0,4,1,1,41,2,365,2,2,1125,1125,2,1125,0,0,0,0,8,4,0,93,10,9,10,10,10,9,1,1,0,0.54,55.95432,-3.16794
5371,0,0,2,1,1,41,1,90,1,3,90,90,1.9,90,15,45,75,350,5,2,0,96,10,10,10,10,10,10,11,10,1,0.34,55.92155,-3.24822
5382,0,0,2,1,1,41,3,17,3,3,1125,1125,3,1125,0,0,0,0,8,3,0,100,10,10,10,10,10,10,1,0,1,0.54,55.96483,-3.18249
5571,0,0,2,1,1,41,1,1125,1,1,1125,1125,1,1125,28,58,88,178,3,2,0,100,10,10,10,10,9,10,1,0,1,0.23,55.95958,-3.25996
5671,2,2,2,1,1,41,2,1125,2,4,1125,1125,2.1,1125,13,40,70,242,43,43,1,97,10,10,10,10,10,10,3,3,0,3.79,55.95346,-3.16694
5704,0,0,2,1,1,41,2,1125,2,2,1125,1125,2,1125,21,48,73,146,22,22,0,98,10,10,10,10,10,9,6,3,3,1.92,55.94398,-3.18099
6208,0,0,4,1,2,41,1,1125,1,1,1125,1125,1,1125,29,59,89,89,8,8,5,95,10,10,10,10,10,9,1,1,0,5.22,55.94634,-3.20168
6286,2,2,2,1,1,41,4,1125,4,4,1125,1125,4,1125,0,0,0,54,1,1,0,100,10,10,10,10,10,10,3,0,3,0.71,55.93852,-3.17837
6439,6,6,2,1,2,41,1,365,1,2,365,365,1,365,30,60,90,129,0,0,0,0,0,0,0,0,0,0,5,0,2,0,55.95314,-3.19997
6480,0,0,4,2,2,41,2,1125,2,2,1125,1125,2,1125,30,60,80,92,0,0,0,0,0,0,0,0,0,0,2,1,1,0,55.93542,-3.17484
6549,0,0,1,1,1,41,1,365,1,1,365,365,1,365,29,58,78,333,0,0,0,0,0,0,0,0,0,0,5,0,5,0,55.93678,-3.17749
3219,4,4,6,2,2,40.86,2,30,1,2,30,30,1.3,30,21,51,81,354,103,19,0,94,10,9,10,10,10,9,3,3,0,3.3,55.95783,-3.17053
2359,6,6,3,1,1,40.29,2,1125,2,2,1125,1125,2,1125,26,56,79,354,139,24,2,98,10,10,10,10,10,10,5,0,5,3.41,55.96478,-3.18176
60,1,1,2,1,0,40,2,31,2,2,1125,1125,2,1125,0,0,17,292,68,1,0,97,10,10,10,10,9,9,1,0,1,0.68,55.90923,-3.21368
67,1,1,2,1,1,40,2,5,2,2,5,5,2,5,0,0,0,110,396,5,0,97,10,10,10,10,10,10,1,0,1,3.79,55.94313,-3.1808
126,34,34,2,1,1,40,1,60,1,3,1125,1125,2.2,1125,1,1,1,1,443,42,4,89,9,9,10,9,10,9,28,28,0,4.43,55.96364,-3.1926
127,1,1,2,1,1,40,1,60,1,1,60,60,1,60,0,0,16,196,291,16,0,97,10,10,10,10,10,10,1,0,1,2.91,55.93627,-3.19568
182,5,5,2,1,2,40,2,14,2,3,14,14,2,14,0,0,6,269,18,0,0,94,10,10,10,10,9,9,4,0,4,0.21,55.92839,-3.17112
253,2,2,2,1,1,40,1,90,1,1,1125,1125,1,1125,30,60,90,361,782,52,2,93,10,9,10,10,10,9,2,0,2,8.8,55.95448,-3.18603
276,3,3,1,1,1,40,25,1125,25,25,1125,1125,25,1125,20,49,79,259,15,0,0,99,10,10,10,10,10,9,3,0,3,0.17,55.93571,-3.19664
306,1,1,2,1,2,40,2,14,2,2,14,14,2,14,0,0,0,0,72,2,0,95,10,10,10,10,10,10,1,0,1,0.85,55.91301,-3.16722
394,13,13,3,1,2,40,4,180,4,4,180,180,4,180,22,48,68,198,37,6,1,94,10,9,10,10,10,10,9,9,0,0.47,55.92735,-3.2057
422,0,0,2,1,1,40,3,1125,3,3,1125,1125,3,1125,20,50,80,355,47,0,0,97,10,10,10,10,9,10,1,0,1,0.6,55.9707,-3.17255
450,1,1,2,1,1,40,2,1125,2,2,1125,1125,2,1125,0,23,53,328,175,9,0,95,10,10,10,10,10,10,1,0,1,2.26,55.93575,-3.20826
504,1,1,2,0,2,40,30,365,30,30,1125,1125,30,1125,0,0,0,78,27,1,0,90,9,9,10,10,9,9,1,1,0,0.36,55.94011,-3.21975
507,2,2,2,2,1,40,2,122,2,2,1125,1125,2,1125,0,0,0,68,40,2,0,92,10,9,10,10,10,9,2,0,2,0.53,55.92676,-3.23155
510,1,1,4,2,2,40,2,360,2,2,1125,1125,2,1125,25,55,85,360,387,42,6,93,10,10,10,10,10,10,1,1,0,5.14,55.96163,-3.18225
517,3,3,2,1,1,40,1,360,1,1,360,360,1,360,0,11,37,312,56,2,0,95,10,9,10,9,10,9,2,0,2,0.74,55.92628,-3.21144
603,3,3,4,1,1,40,3,1125,3,3,1125,1125,3,1125,0,0,0,0,62,7,2,98,10,10,10,10,10,10,3,3,0,0.88,55.96163,-3.18573
655,1,1,4,1,3,40,2,1125,2,2,1125,1125,2,1125,1,1,1,1,140,28,3,99,10,10,10,10,10,10,1,1,0,1.98,55.93093,-3.24281
702,1,1,2,1,1,40,2,7,2,2,7,7,2,7,29,59,89,364,65,1,0,98,10,10,10,10,10,10,1,0,1,0.96,55.94688,-3.1019
754,4,4,2,1,2,40,2,1125,2,2,1125,1125,2,1125,29,59,89,89,13,0,0,92,9,9,10,10,9,9,3,0,3,0.2,55.932,-3.17794
770,2,2,2,1,1,40,1,3,1,1,3,3,1,3,0,1,1,1,569,43,0,94,10,10,10,10,10,10,2,1,1,8.6,55.95227,-3.21912
780,3,3,4,1,2,40,31,1125,31,31,1125,1125,31,1125,0,0,0,0,40,6,0,93,9,10,10,10,9,9,4,2,2,1.78,55.96265,-3.17337
782,1,1,2,1,1,40,1,1125,1,1,1125,1125,1,1125,28,58,61,137,393,11,0,96,10,10,10,10,10,10,1,0,1,5.96,55.94783,-3.22144
784,0,0,4,1,1,40,2,365,2,2,1125,1125,2,1125,0,0,0,0,160,9,0,89,9,9,10,10,9,9,1,1,0,2.49,55.96309,-3.1757
847,3,3,2,1,1,40,1,360,1,1,360,360,1,360,30,60,90,180,35,0,0,97,10,10,10,10,10,10,2,0,2,0.55,55.92829,-3.21044
863,1,1,3,1,0,40,1,1125,1,1,1125,1125,1,1125,1,1,1,1,315,12,0,91,10,9,10,10,9,9,1,0,1,4.84,55.96515,-3.23053
889,0,0,2,1,1,40,1,1125,1,1,1125,1125,1,1125,29,59,89,179,187,0,0,97,10,10,10,10,9,10,1,0,1,2.95,55.96123,-3.16321
907,1,1,2,1,2,40,2,1125,2,2,1125,1125,2,1125,29,59,89,89,236,6,0,97,10,10,10,10,10,10,1,0,1,3.67,55.94425,-3.1463
914,4,4,2,1,1,40,5,1125,5,5,1125,1125,5,1125,0,21,21,21,12,0,0,93,10,10,9,10,10,9,2,0,2,0.23,55.95549,-3.16757
932,1,1,1,1,1,40,7,1125,7,7,1125,1125,7,1125,30,60,90,365,6,0,0,97,9,9,9,9,9,9,1,0,1,0.09,55.95698,-3.15278
976,1,1,2,1,1,40,2,14,2,2,14,14,2,14,4,22,49,230,42,29,4,98,10,10,10,10,10,10,1,1,0,2.94,55.93074,-3.23848
1035,10,10,2,1,1,40,2,1125,2,2,1125,1125,2,1125,30,60,90,333,25,5,0,96,10,9,10,10,9,10,9,1,8,0.39,55.96998,-3.17379
1076,1,1,2,1,1,40,1,14,1,1,14,14,1,14,0,0,0,50,133,6,0,98,10,9,10,10,10,10,1,0,1,2.12,55.94265,-3.20266
1085,2,2,2,1,1,40,2,1125,2,2,1125,1125,2,1125,0,0,0,0,89,1,0,98,10,10,10,10,10,10,2,0,2,1.41,55.93662,-3.2833
1125,1,1,3,2,2,40,30,120,30,30,120,120,30,120,5,5,6,139,118,4,0,98,10,10,10,10,10,10,1,1,0,1.91,55.9593,-3.17551
1133,1,1,2,1,0,40,1,1125,1,1,1125,1125,1,1125,29,59,89,364,21,4,0,97,10,10,10,10,9,10,1,0,1,0.34,55.94307,-3.14381
1165,1,1,3,1,2,40,1,1125,1,1,1125,1125,1,1125,12,42,69,159,490,47,0,97,10,10,10,10,10,10,1,0,1,8.06,55.94279,-3.24039
1271,4,4,2,1,1,40,2,1125,2,2,1125,1125,2,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,55.93338,-3.17672
1272,1,1,2,1,1,40,2,28,2,2,1125,1125,2,1125,0,25,55,145,99,8,0,95,10,10,10,10,10,9,1,1,0,1.74,55.96104,-3.17542
1276,1,1,4,1,2,40,2,365,2,2,1125,1125,2,1125,19,35,65,158,190,18,1,95,10,10,10,10,10,9,1,1,0,3.44,55.95101,-3.21754
1339,1,1,2,1,0,40,1,1125,1,1,1125,1125,1,1125,30,60,90,351,70,2,0,98,10,10,10,10,10,10,1,0,1,1.25,55.95769,-3.20332
1411,2,2,2,1,1,40,2,1125,1,2,1125,1125,1.3,1125,0,0,18,18,51,1,0,92,9,9,10,10,10,9,2,0,2,0.95,55.9511,-3.19951
1434,1,1,2,1,1,40,2,39,1,1,1125,1125,1,1125,20,50,80,334,211,27,0,92,10,8,10,10,10,9,1,0,1,3.87,55.96269,-3.17711
1466,1,1,1,1,1,40,1,1125,1,1,1125,1125,1,1125,28,58,88,363,0,0,0,0,0,0,0,0,0,0,1,0,1,0,55.9067,-3.14183
1474,54,54,1,1,2,40,28,120,28,28,120,120,28,120,22,52,82,181,3,0,0,80,9,7,6,6,10,8,22,19,2,0.07,55.94704,-3.19368
1481,2,2,2,1,1,40,2,7,2,2,7,7,2,7,0,0,0,54,20,0,0,100,10,10,10,10,10,10,2,0,2,0.37,55.9213,-3.23659
1526,2,2,2,1,1,40,1,7,1,1,7,7,1,7,20,50,80,80,119,1,0,96,10,10,10,10,10,10,2,0,2,2.22,55.94475,-3.21712
1599,1,1,2,1,1,40,1,1125,1,1,1125,1125,1,1125,27,57,80,355,304,24,1,99,10,10,10,10,10,10,1,0,1,5.78,55.9866,-3.1912
1696,2,2,2,1,1,40,2,1125,2,2,1125,1125,2,1125,29,59,89,89,14,0,0,98,10,10,10,10,9,10,1,0,1,0.27,55.91821,-3.1607
1762,1,1,3,1,2,40,2,1125,2,2,1125,1125,2,1125,0,23,48,296,25,0,0,97,10,10,10,10,9,10,1,0,1,0.49,55.91909,-3.15353
1768,1,1,2,1,1,40,1,40,1,1,1125,1125,1,1125,0,0,0,0,306,22,0,97,10,10,10,10,10,10,1,0,1,6.32,55.95638,-3.19729
1806,1,1,3,1,2,40,1,3,1,1,1125,1125,1,1125,0,0,0,0,108,3,0,98,10,10,10,10,10,10,1,0,1,2.11,55.9409,-3.28423
1807,1,1,4,1,1,40,2,1125,2,2,1125,1125,2,1125,0,0,0,0,172,26,1,94,10,9,10,10,9,9,1,1,0,3.43,55.93681,-3.22104
1897,2,2,4,2,3,40,10,180,10,10,180,1125,10,277.8,0,0,0,11,119,25,0,96,10,10,10,10,10,10,2,2,0,3.67,55.954,-3.14584
1899,2,2,2,1,1,40,1,1125,1,1,1125,1125,1,1125,4,34,56,56,71,0,0,97,10,10,10,10,10,10,2,0,2,1.5,55.94422,-3.30349
1933,1,1,2,1,1,40,1,1125,1,1,1125,1125,1,1125,29,59,89,364,1,0,0,0,0,0,0,0,0,0,1,0,1,0.02,55.9443,-3.21757
1936,1,1,2,1,2,40,2,14,2,2,14,14,2,14,0,20,50,50,170,12,0,96,10,9,10,10,10,10,1,0,1,3.5,55.95729,-3.16605
1939,6,6,2,1,1,40,2,14,2,2,14,14,2,14,0,0,0,0,145,19,0,94,10,10,10,10,10,9,2,1,1,2.99,55.96078,-3.20298
1984,1,1,2,1,1,40,30,1125,30,30,1125,1125,30,1125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.02,55.9686,-3.15226
1995,1,1,2,1,1,40,2,365,2,2,1125,1125,2,1125,23,53,83,173,121,14,2,99,10,10,10,10,10,10,1,1,0,2.59,55.95116,-3.21038
2002,2,2,2,1,1,40,2,365,2,2,1125,1125,2,1125,28,58,88,178,121,10,0,97,10,10,10,10,10,9,2,2,0,2.59,55.95782,-3.20845
2019,1,1,2,1,1,40,2,365,2,2,1125,1125,2,1125,0,0,0,0,132,4,0,96,10,10,10,10,10,9,1,1,0,2.86,55.95813,-3.17576
2132,1,1,1,1,1,40,2,1125,2,2,1125,1125,2,1125,0,0,0,0,6,1,0,93,10,9,9,10,9,9,1,0,1,0.4,55.97839,-3.22928
2204,1,1,2,1,1,40,1,4,1,2,4,4,1.1,4,30,60,90,90,36,0,0,99,10,10,10,10,10,10,1,0,1,1.33,55.96824,-3.16971
2222,2,2,3,1,1,40,3,100,3,3,1125,1125,3,1125,10,13,43,43,87,11,3,94,10,10,10,10,10,9,2,2,0,2.15,55.95784,-3.21158
