,host_listings_count,host_total_listings_count,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,latitude,longitude
5102,16,16,4,2,2,999,1,365,1,1,365,365,1,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,55.96651,-3.16819
5103,16,16,4,2,2,999,1,365,1,1,365,365,1,365,1,1,1,1,1,1,0,0,0,0,0,0,0,0,16,0,0,0.11,55.96651,-3.16819
5104,16,16,4,2,3,999,1,365,1,1,365,365,1,365,0,0,0,47,1,0,0,100,10,10,10,10,8,8,16,0,0,0.07,55.96651,-3.16819
5105,16,16,4,2,2,999,1,365,1,1,365,365,1,365,0,0,0,45,0,0,0,0,0,0,0,0,0,0,16,0,0,0,55.96651,-3.16819
5106,16,16,4,2,3,999,1,365,1,1,365,365,1,365,0,0,0,45,3,1,0,100,10,10,10,10,9,9,16,0,0,0.21,55.96651,-3.16819
5107,16,16,4,2,3,999,1,365,1,1,365,365,1,365,0,0,0,0,1,0,0,100,10,10,10,10,10,10,16,0,0,0.08,55.96651,-3.16819
5108,16,16,4,2,3,999,1,365,1,1,365,365,1,365,0,0,0,45,1,1,0,100,10,10,10,10,8,10,16,0,0,0.1,55.96651,-3.16819
5109,16,16,4,2,3,999,1,365,1,1,365,365,1,365,0,0,0,46,0,0,0,0,0,0,0,0,0,0,16,0,0,0,55.96651,-3.16819
5110,16,16,4,2,3,999,1,365,1,1,365,365,1,365,0,0,0,45,0,0,0,0,0,0,0,0,0,0,16,0,0,0,55.96651,-3.16819
5111,16,16,4,2,3,999,1,365,1,1,365,365,1,365,2,2,2,2,1,0,0,60,8,8,8,8,8,6,16,0,0,0.06,55.96651,-3.16819
5112,16,16,4,2,3,999,1,365,1,1,365,365,1,365,2,2,2,2,1,0,0,100,10,10,10,10,10,10,16,0,0,0.07,55.96651,-3.16819
5113,16,16,4,2,2,999,1,365,1,1,365,365,1,365,0,0,0,44,0,0,0,0,0,0,0,0,0,0,16,0,0,0,55.96651,-3.16819
5215,11,11,1,1,1,999,1,1125,1,1,1125,1125,1,1125,1,1,1,1,4,0,0,85,9,8,10,10,9,9,11,1,10,0.26,55.92191,-3.29269
5306,11,11,1,1,1,999,3,1125,3,3,1125,1125,3,1125,30,60,90,365,2,1,0,100,10,10,10,10,9,10,11,1,10,0.14,55.92056,-3.29422
6059,4,4,7,2,5,999,1,1125,1,2,1125,1125,1.2,1125,0,0,0,81,0,0,0,0,0,0,0,0,0,0,4,4,0,0,55.95265,-3.20436
6060,4,4,5,1,3,999,1,1125,1,2,1125,1125,1,1125,0,0,0,83,1,1,0,100,10,10,10,10,10,10,4,4,0,0.12,55.95207,-3.20443
6061,4,4,4,1,2,999,1,1125,1,2,1125,1125,1,1125,0,0,0,81,0,0,0,0,0,0,0,0,0,0,4,4,0,0,55.95402,-3.20619
6062,4,4,2,1,1,999,1,1125,1,2,1125,1125,1,1125,0,0,0,81,0,0,0,0,0,0,0,0,0,0,4,4,0,0,55.95344,-3.20628
6319,11,11,2,1,1,999,2,1125,2,2,1125,1125,2,1125,30,60,90,365,4,4,1,100,9,10,8,10,10,10,11,1,10,1.52,55.91388,-3.28871
6368,11,11,2,1,1,999,3,365,3,3,365,365,3,365,30,60,90,365,1,1,0,100,10,8,10,10,10,10,11,1,10,0.68,55.92078,-3.29663
5864,11,11,2,1,0,998,3,1125,3,3,1125,1125,3,1125,30,60,90,365,2,2,0,100,10,9,10,10,10,9,11,1,10,0.21,55.91977,-3.2997
5937,11,11,1,1,0,998,1,1125,1,1,1125,1125,1,1125,30,60,90,365,0,0,0,0,0,0,0,0,0,0,11,1,10,0,55.92159,-3.30064
122,16,16,16,4,20,995,3,365,3,3,365,365,3,365,30,60,90,365,24,1,0,95,9,10,10,10,10,9,15,15,0,0.25,55.95017,-3.18902
5863,11,11,2,1,0,990,1,1125,1,1,1125,1125,1,1125,30,60,90,365,2,2,0,90,9,8,10,10,9,9,11,1,10,0.23,55.91994,-3.29752
6224,1,1,16,9,13,955,2,30,2,3,30,30,2.1,30,0,21,51,51,0,0,0,0,0,0,0,0,0,0,1,1,0,0,55.96283,-3.20337
3604,1,1,2,1,1,900,2,8,2,2,8,8,2,8,23,53,83,173,1,0,0,0,0,0,0,0,0,0,1,0,1,0.04,55.95474,-3.24707
5709,11,11,6,2,3,900,3,1125,3,3,1125,1125,3,1125,0,0,18,18,16,16,0,95,10,9,10,10,10,10,3,2,1,1.44,55.94787,-3.20021
6432,1,1,4,2,2,900,2,1114,2,2,1125,1125,2,1125,30,60,90,180,0,0,0,0,0,0,0,0,0,0,2,2,0,0,55.94868,-3.19673
4724,19,19,16,4,21,886,2,31,2,2,31,31,2,31,27,50,80,246,0,0,0,0,0,0,0,0,0,0,11,11,0,0,55.93526,-3.19377
2584,1,1,4,1,2,800,2,60,2,2,60,60,2,60,29,59,89,89,160,18,0,96,10,10,10,10,10,9,1,1,0,4.09,55.94233,-3.21872
2745,2,2,1,1,1,800,2,15,2,2,15,15,2,15,0,20,50,325,14,0,0,89,9,10,9,9,10,9,1,0,1,0.39,55.95778,-3.16211
3430,7,7,16,2,8,800,1,1125,1,1,1125,1125,1,1125,30,60,90,365,4,0,0,100,10,10,10,10,10,10,7,7,0,0.16,55.94824,-3.18638
3647,4,4,6,3,3,800,1,1125,1,10,1125,1125,3.5,1125,0,0,0,262,1,0,0,100,10,10,10,10,10,10,4,0,4,0.04,55.94443,-3.21173
3649,4,4,10,5,5,800,1,1125,1,10,1125,1125,3.4,1125,0,0,0,263,0,0,0,0,0,0,0,0,0,0,4,0,4,0,55.94443,-3.21173
3651,4,4,12,6,6,800,1,1125,1,10,1125,1125,3.4,1125,0,0,0,263,0,0,0,0,0,0,0,0,0,0,4,0,4,0,55.94443,-3.21173
3698,4,4,8,4,4,800,1,1125,1,10,1125,1125,3.4,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,55.94443,-3.21173
4367,1,1,10,4,5,800,4,1125,4,4,1125,1125,4,1125,30,60,90,365,1,0,0,100,10,8,10,10,10,10,1,1,0,0.07,55.95779,-3.19469
5338,0,0,1,0,1,800,30,1125,30,30,1125,1125,30,1125,30,60,90,365,0,0,0,0,0,0,0,0,0,0,1,1,0,0,55.95997,-3.13488
426,1,1,7,4,5,795,2,28,2,2,1125,1125,2,1125,1,1,1,1,40,3,0,100,10,10,10,10,10,10,1,1,0,0.54,55.95813,-3.19491
6471,19,19,16,2,13,780,2,21,2,2,21,21,2,21,29,59,89,364,0,0,0,0,0,0,0,0,0,0,11,11,0,0,55.94723,-3.18255
3471,7,7,1,2,5,770,1,1125,2,3,1125,1125,2,1125,0,0,22,297,7,1,0,100,10,10,9,10,10,9,7,7,0,0.26,55.94779,-3.18534
1425,16,16,10,4,4,762,1,30,1,7,30,30,2.1,30,0,4,17,110,8,0,0,100,10,10,8,10,10,9,15,15,0,0.15,55.95341,-3.20993
2808,2,2,2,2,2,757,2,29,2,2,29,29,2,29,30,60,60,60,62,2,0,94,10,9,10,10,10,9,2,2,0,1.64,55.95226,-3.17634
3579,1,1,6,2,3,750,3,30,3,3,30,30,3,30,30,60,90,90,4,0,0,100,10,10,9,10,10,9,1,1,0,0.15,55.94475,-3.22149
4116,2,2,8,5,5,750,1,1125,1,1,1125,1125,1,1125,1,1,1,1,1,0,0,100,10,10,10,10,10,10,1,1,0,0.07,55.95391,-3.37759
3284,1,1,2,1,1,734,6,1125,6,6,1125,1125,6,1125,27,57,87,87,0,0,0,0,0,0,0,0,0,0,1,0,1,0,55.96073,-3.19971
2153,2,2,15,6,14,700,1,1125,1,2,1125,1125,1.1,1125,29,58,88,178,10,0,0,100,10,10,10,10,9,10,2,1,1,0.24,55.9287,-3.20579
4356,1,1,10,5,5,700,2,30,2,2,1125,1125,2,1125,28,58,75,324,22,7,1,97,10,10,10,10,10,9,1,1,0,1.06,55.9579,-3.17974
6463,12,12,16,9,18,700,4,1125,4,4,1125,1125,4,1125,27,57,87,362,0,0,0,0,0,0,0,0,0,0,11,8,3,0,55.9387,-3.21701
121,16,16,12,4,12,695,3,365,3,3,365,365,3,365,30,60,90,365,12,0,0,97,10,10,10,10,10,10,15,15,0,0.21,55.95005,-3.18873
5521,0,0,8,4,4,675,7,30,7,7,30,30,7,30,0,0,0,113,0,0,0,0,0,0,0,0,0,0,1,1,0,0,55.95564,-3.21632
2273,1,1,2,1,1,650,1,7,1,1,7,7,1,7,30,60,90,90,6,0,0,100,10,10,10,10,10,10,1,0,1,0.15,55.9465,-3.14201
5421,2,2,7,3,4,650,2,1125,2,2,1125,1125,2,1125,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,55.95096,-3.19192
1614,2,2,16,4,16,643,2,1125,2,2,1125,1125,2,1125,1,1,1,1,94,5,0,99,10,10,10,10,10,10,2,2,0,1.81,55.94745,-3.20614
3470,7,7,8,3,4,616,1,1125,2,3,1125,1125,2,1125,0,0,0,114,6,1,0,100,10,10,10,10,10,10,7,7,0,0.21,55.94678,-3.18368
120,16,16,10,4,10,615,3,365,3,3,365,365,3,365,30,60,90,362,15,1,0,98,10,9,10,10,10,9,15,15,0,0.15,55.95005,-3.18873
4294,11,11,4,1,1,610,1,30,1,1,30,30,1,30,0,0,0,0,32,0,0,88,9,9,9,9,9,9,3,2,1,1.45,55.93024,-3.21225
3504,3,3,10,5,5,607,2,1125,2,2,1125,1125,2,1125,26,56,65,73,43,9,0,99,10,10,10,10,10,10,2,2,0,1.57,55.9539,-3.20263
1461,1,1,12,6,12,600,4,11,4,4,11,11,4,11,20,50,80,170,1,0,0,100,10,10,10,10,10,10,1,1,0,0.04,55.94829,-3.23352
5822,5,5,9,4,5,600,2,1125,2,2,1125,1125,2,1125,0,0,0,0,1,1,0,100,10,8,10,10,10,8,1,1,0,0.1,55.9481,-3.20391
6380,19,19,16,2,8,600,2,31,2,2,1125,1125,2,1125,30,60,86,176,0,0,0,0,0,0,0,0,0,0,11,11,0,0,55.94757,-3.18421
4136,201,201,14,7,10,588,4,1124,1,5,999,999,2.7,999,0,12,32,189,3,0,0,87,9,9,9,9,10,9,113,105,8,0.19,55.95496,-3.18629
584,4,4,15,5,0,586,2,1125,2,2,1125,1125,2,1125,0,0,0,0,77,2,0,99,10,10,10,10,10,9,3,3,0,1.1,55.94253,-3.20699
5486,1,1,3,1,1,559,1,1125,1,4,27,1125,2.9,55.7,18,43,66,278,12,10,2,100,10,10,10,10,10,10,2,2,0,0.97,55.95983,-3.1761
618,4,4,15,5,0,550,2,1125,2,4,1125,1125,2.1,1125,29,59,89,306,83,6,0,100,10,10,10,10,10,10,3,3,0,1.18,55.95368,-3.19794
4288,1,1,12,1,12,550,2,1125,2,2,1125,1125,2,1125,29,59,89,89,1,0,0,20,2,2,2,2,2,2,1,0,1,0.05,55.95462,-3.19535
5396,54,54,2,1,0,547,2,1125,2,28,1125,1125,17.8,1125,0,0,0,0,2,0,0,100,10,10,10,10,10,10,22,19,2,0.14,55.95909,-3.20678
2837,1,1,4,2,2,542,1,31,1,1,1125,1125,1,1125,0,0,0,0,187,22,2,98,10,10,10,10,10,10,1,1,0,5.22,55.9764,-3.16606
4825,1,1,2,1,1,536,1,1125,1,1,1125,1125,1,1125,29,59,89,179,1,0,0,20,2,2,2,2,2,2,1,1,0,0.06,55.95706,-3.1904
583,16,16,6,3,6,529,1,31,1,7,31,31,2.3,31,0,0,0,0,20,0,0,98,10,10,10,9,10,10,15,15,0,0.31,55.94922,-3.20411
1082,16,16,6,3,3,529,1,31,1,7,31,31,2.3,31,29,50,73,245,13,1,0,97,10,10,10,10,10,10,15,15,0,0.21,55.94894,-3.20449
5700,1,1,16,6,16,529,2,28,2,2,28,28,2,28,30,60,90,365,0,0,0,0,0,0,0,0,0,0,1,0,1,0,55.9417,-3.30613
3127,3,3,8,4,4,527,2,1125,2,2,1125,1125,2,1125,0,0,12,155,26,5,0,100,10,10,10,10,10,10,1,1,0,0.89,55.95732,-3.18813
1091,7,7,12,6,10,514,3,1125,3,3,1125,1125,3,1125,0,0,0,0,34,2,0,99,10,10,10,10,10,10,3,3,0,0.56,55.94903,-3.19638
1053,2,2,16,7,13,509,2,1124,2,3,1124,1124,2.3,1124,27,52,74,290,128,17,0,100,10,10,10,10,10,9,3,3,0,2.15,55.95528,-3.16325
797,3,3,9,4,5,500,1,30,1,2,1125,1125,1.3,1125,0,0,0,0,176,14,0,100,10,10,10,10,10,10,2,2,0,2.7,55.95144,-3.20283
1092,6,6,9,5,5,500,2,1125,2,7,1125,1125,2.4,1125,0,0,0,52,29,0,0,99,10,10,10,10,10,10,4,4,0,0.55,55.95725,-3.18934
1674,2,2,6,3,3,500,2,7,2,2,7,7,2,7,30,60,90,358,3,1,0,100,10,10,10,10,10,9,2,1,1,0.06,55.93908,-3.21611
2498,2,2,6,2,3,500,3,1125,3,3,1125,1125,3,1125,28,58,88,88,1,0,0,100,10,10,10,10,10,10,1,1,0,0.03,55.97753,-3.19328
2688,1,1,5,2,2,500,2,29,2,2,29,29,2,29,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0.06,55.95582,-3.19701
3230,1,1,4,2,2,500,1,30,1,1,30,30,1,30,30,60,90,90,48,0,0,98,10,10,10,10,10,10,1,1,0,1.55,55.9382,-3.18643
3652,13,13,4,1,2,500,2,31,2,2,31,31,2,31,0,0,0,6,37,15,0,96,10,10,10,10,10,10,12,12,0,1.37,55.9393,-3.21279
4086,1,1,2,1,1,500,2,1125,2,2,1125,1125,2,1125,0,0,0,0,76,13,0,99,10,10,10,10,10,10,1,1,0,3.16,55.96438,-3.19077
4087,1,1,10,5,7,500,3,1125,3,3,1125,1125,3,1125,0,0,0,0,5,0,0,100,10,10,10,9,10,10,1,1,0,0.21,55.94182,-3.27485
4503,1,1,2,1,1,500,2,2,1,2,2,2,1.4,2,29,59,89,179,14,1,0,92,10,9,10,10,9,9,1,0,1,0.76,55.97779,-3.18285
4552,5,5,10,5,9,500,7,60,7,7,60,60,7,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,55.95997,-3.17893
809,4,4,8,4,6,499,2,14,2,4,14,14,2.3,14,22,39,62,74,82,4,1,99,10,10,10,10,10,10,3,3,0,1.62,55.9475,-3.19421
4987,6,6,8,3,5,495,3,1122,3,4,1125,1125,3.1,1125,29,59,89,207,3,1,0,100,10,10,9,10,10,9,8,8,0,0.2,55.94612,-3.19086
2334,1,1,10,4,8,490,1,28,1,3,28,28,1.3,28,9,9,9,9,1,0,0,100,10,10,10,10,10,10,3,3,0,0.03,55.93017,-3.16893
1316,1,1,11,5,6,489,1,30,1,7,3,30,1.3,28.3,1,1,1,1,90,5,0,96,10,10,10,10,10,9,1,1,0,1.69,55.9551,-3.20134
2955,7,7,8,4,8,482,3,30,3,3,30,30,3,30,23,48,71,221,20,1,0,100,10,10,10,10,10,10,2,2,0,0.64,55.94892,-3.21112
2317,16,16,8,4,4,477,2,31,2,7,31,31,2.5,31,29,37,47,263,4,1,0,100,10,10,10,10,10,10,15,15,0,0.12,55.95774,-3.22041
1550,2,2,8,3,5,463,2,5,2,2,5,5,2,5,0,4,34,34,10,1,0,94,10,10,10,10,10,9,1,1,0,0.25,55.95926,-3.2093
3428,7,7,6,2,3,457,1,1125,2,3,1125,1125,2,1125,30,60,63,176,2,0,0,100,10,10,10,10,10,10,7,7,0,0.09,55.94681,-3.18383
6176,0,0,4,2,1,456,4,1125,4,4,1125,1125,4,1125,30,60,90,365,0,0,0,0,0,0,0,0,0,0,1,1,0,0,55.95002,-3.18937
629,3,3,12,4,7,452,2,90,2,5,90,90,2.1,90,0,0,0,33,150,14,0,99,10,10,10,10,10,10,1,1,0,2.18,55.94904,-3.19675
2551,1,1,3,1,2,450,2,1125,2,2,1125,1125,2,1125,30,60,90,365,9,0,0,100,10,10,10,10,10,10,1,1,0,0.23,55.95755,-3.16577
3645,1,1,8,4,4,450,7,35,7,7,35,35,7,35,0,0,0,110,5,0,0,100,10,10,10,10,9,10,2,2,0,0.18,55.92986,-3.21278
5035,2,2,8,5,4,450,3,1125,3,3,1125,1125,3,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,55.92166,-3.21703
123,16,16,6,3,6,445,2,1125,2,2,1125,1125,2,1125,30,60,90,365,5,0,0,92,8,9,9,9,10,10,15,15,0,0.06,55.95005,-3.18873
364,5,5,13,6,7,443,1,30,2,5,30,30,2.4,30,30,60,84,321,82,4,0,99,10,10,10,10,10,10,3,3,0,1.24,55.95301,-3.20368
1821,2,2,6,4,6,443,2,31,2,2,1125,1125,2,1125,29,59,89,160,117,10,0,97,10,9,10,10,10,9,2,2,0,2.31,55.95161,-3.21099
1348,1,1,5,2,5,434,2,60,2,2,60,60,2,60,14,44,67,155,12,0,0,94,10,10,10,9,10,9,1,1,0,0.22,55.94859,-3.18868
5024,13,13,2,1,1,431,1,1125,1,2,1125,1125,1.1,1125,13,31,53,257,0,0,0,0,0,0,0,0,0,0,13,0,3,0,55.95245,-3.18765
487,1,1,4,2,3,428,3,1125,3,3,1125,1125,3,1125,23,53,83,358,20,0,0,99,10,10,10,10,10,9,1,1,0,0.27,55.95867,-3.19999
909,1,1,8,4,7,425,1,28,1,1,28,28,1,28,0,0,0,0,17,1,0,96,10,9,10,10,10,10,3,3,0,0.29,55.92952,-3.16849
3090,1,1,10,5,5,425,3,14,3,3,14,14,3,14,0,0,0,28,11,0,0,98,10,10,10,10,10,9,1,1,0,0.41,55.9514,-3.19957
715,4,4,14,5,13,421,2,28,2,4,1125,1125,2.1,1125,27,57,87,329,120,10,0,99,10,10,10,10,10,10,3,3,0,1.86,55.9542,-3.19911
3051,1,1,2,1,1,414,1,1125,1,1,1125,1125,1,1125,30,60,90,90,2,0,0,100,10,10,10,10,10,10,1,0,1,0.06,55.95356,-3.28824
2159,69,69,10,5,5,410,2,1125,2,7,1125,1125,2.9,1125,18,39,59,294,28,9,1,91,9,9,10,10,10,9,54,54,0,0.74,55.94095,-3.14637
4230,3,3,8,4,4,408,2,30,1,1,30,30,1,30,27,57,87,362,2,0,0,70,6,6,8,6,10,6,3,2,0,0.14,55.9427,-3.20862
4540,5,5,9,5,8,407,3,80,3,3,80,80,3,80,27,57,87,87,0,0,0,0,0,0,0,0,0,0,4,4,0,0,55.96498,-3.19088
6128,0,0,6,5,5,402,1,28,2,3,1125,1125,2.4,1125,30,60,90,180,4,4,0,75,7,8,10,9,10,7,1,1,0,0.56,55.95804,-3.30988
1205,2,2,8,8,14,401,1,45,1,2,1125,1125,1.1,1125,0,0,0,0,62,2,0,92,9,9,10,10,10,9,2,2,0,1.16,55.96094,-3.19295
4105,16,16,6,3,4,401,2,31,2,7,31,31,2.5,31,24,49,79,336,4,3,0,100,10,10,10,9,10,8,15,15,0,0.18,55.95848,-3.19344
1428,1,1,10,5,7,400,5,31,5,5,31,31,5,31,23,53,83,173,0,0,0,0,0,0,0,0,0,0,1,1,0,0,55.93511,-3.2276
2102,1,1,10,4,8,400,1,28,1,3,3,28,1,27.6,0,0,0,0,16,3,0,98,10,10,10,10,10,9,3,3,0,0.41,55.92974,-3.17011
2160,2,2,10,5,5,400,3,1125,3,3,1125,1125,3,1125,29,59,89,364,0,0,0,0,0,0,0,0,0,0,2,2,0,0,55.95583,-3.20366
3469,7,7,8,3,4,400,1,1125,1,1,1125,1125,1,1125,30,60,90,365,0,0,0,0,0,0,0,0,0,0,7,7,0,0,55.94786,-3.18632
2787,3,3,10,4,5,399,1,365,1,5,365,365,1.3,365,0,19,49,73,111,31,0,91,10,9,10,9,9,9,2,2,0,2.9,55.96131,-3.16528
977,3,3,8,4,4,396,2,1125,2,2,1125,1125,2,1125,0,0,0,55,33,1,0,91,9,9,10,10,10,9,3,3,0,0.52,55.9541,-3.20536
1267,2,2,2,1,1,396,1,1125,1,1,1125,1125,1,1125,30,60,90,180,0,0,0,0,0,0,0,0,0,0,1,0,1,0,55.93854,-3.20357
113,16,16,6,1,5,395,2,365,2,2,365,365,2,365,30,60,90,365,2,0,0,100,10,10,10,10,10,10,15,15,0,0.06,55.95085,-3.18775
1730,16,16,8,2,6,395,3,230,3,3,230,230,3,230,29,59,89,364,2,0,0,100,10,10,10,10,10,8,15,15,0,0.04,55.94797,-3.19434
1541,69,69,8,4,4,391,2,1125,2,7,1125,1125,2.8,1125,29,55,82,339,39,3,0,95,10,9,9,9,10,9,54,54,0,0.75,55.95019,-3.20596
829,3,3,8,4,6,389,5,30,5,5,1125,1125,5,1125,0,0,0,0,27,4,0,99,10,10,10,10,10,10,1,1,0,0.43,55.98012,-3.216
2330,2,2,9,4,8,389,2,35,2,4,1125,1125,2.1,1125,9,17,46,289,23,6,0,94,10,10,10,10,10,9,2,1,1,0.59,55.95624,-3.19153
567,8,8,16,4,16,386,2,1125,2,3,1125,1125,2.3,1125,30,60,86,86,12,6,0,100,10,9,10,10,10,10,1,1,0,0.57,55.93959,-3.17761
3898,69,69,8,4,6,385,2,1125,2,7,1125,1125,3,1125,26,56,82,340,18,5,0,99,10,10,10,10,10,9,54,54,0,0.73,55.96082,-3.1937
5316,1,1,9,5,5,384,14,1125,14,14,1125,1125,14,1125,30,60,90,365,1,1,1,100,10,10,10,10,10,10,1,1,0,1,55.92504,-3.37899
3420,1,1,4,2,2,382,1,1124,1,1,1125,1125,1,1125,0,11,34,294,85,19,0,97,10,10,9,10,10,9,1,1,0,2.95,55.95242,-3.19304
3458,1,1,7,4,5,380,5,14,5,5,14,14,5,14,1,1,20,110,4,0,0,100,10,10,10,10,10,10,1,1,0,0.14,55.97696,-3.29342
6132,0,0,10,5,6,380,4,1125,4,4,1125,1125,4,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,55.9566,-3.17358
2768,2,2,8,4,4,379,1,1125,1,4,1125,1125,1,1125,1,1,1,1,51,8,1,99,10,10,10,10,10,9,2,2,0,1.36,55.96053,-3.21288
6430,1,1,8,0,6,375,2,40,2,2,40,40,2,40,3,7,20,284,0,0,0,0,0,0,0,0,0,0,1,1,0,0,55.93376,-3.17501
1856,1,1,7,4,4,371,2,1125,2,2,1125,1125,2,1125,4,7,7,198,66,9,0,98,10,10,10,10,10,10,1,1,0,1.36,55.95298,-3.20548
1400,15,15,14,4,12,370,3,1125,3,3,1125,1125,3,1125,0,0,0,201,11,0,0,89,9,8,10,9,9,9,10,2,8,0.27,55.94021,-3.1778
3113,2,2,10,5,5,370,2,1125,2,2,1125,1125,2,1125,0,0,0,0,15,0,0,97,10,10,10,10,10,9,1,1,0,0.57,55.94155,-3.21077
5470,4,4,13,5,10,366,2,1125,2,2,1125,1125,2,1125,0,0,0,275,2,2,0,100,10,10,10,8,10,10,5,5,0,0.17,55.92437,-3.188
3048,1,1,8,3,4,365,2,30,2,2,1125,1125,2,1125,30,60,86,348,31,5,0,99,10,9,10,10,10,10,1,1,0,0.98,55.95384,-3.20559
756,1,1,10,5,5,362,2,1125,2,2,1125,1125,2,1125,30,60,90,90,46,0,0,93,10,9,10,10,10,9,1,1,0,1.15,55.94687,-3.20249
2136,0,0,8,3,4,360,2,16,2,2,16,16,2,16,23,53,83,83,0,0,0,0,0,0,0,0,0,0,1,1,0,0,55.92681,-3.16737
5823,15,15,10,7,10,360,3,1125,3,3,1125,1125,3,1125,0,0,0,20,0,0,0,0,0,0,0,0,0,0,10,2,8,0,55.94764,-3.21615
5505,4,4,14,4,12,357,2,1125,2,2,1125,1125,2,1125,1,1,1,1,2,2,0,100,10,10,10,10,10,10,5,5,0,0.18,55.95821,-3.19708
2996,69,69,7,4,4,356,2,1125,2,7,1125,1125,2.9,1125,0,0,0,0,16,2,0,93,9,10,10,10,10,10,54,54,0,0.47,55.95019,-3.19552
5313,16,16,5,3,4,356,1,1125,1,7,1125,1125,2.4,1125,21,51,81,291,1,1,0,100,10,10,10,10,10,10,15,15,0,0.08,55.95713,-3.18657
457,16,16,4,2,4,355,4,365,4,4,365,365,4,365,30,60,90,365,2,0,0,90,9,9,9,9,10,9,15,15,0,0.03,55.95041,-3.18792
2490,1,1,8,4,4,355,2,1125,2,2,1125,1125,2,1125,0,0,7,97,13,0,0,92,10,10,10,10,10,9,1,1,0,0.33,55.95961,-3.17745
3331,1,1,10,4,5,354,2,365,2,2,1125,1125,2,1125,0,0,0,64,119,20,0,97,10,9,10,10,10,9,1,1,0,4.17,55.95836,-3.192
4888,7,7,2,1,1,354,1,1125,1,1,1125,1125,1,1125,27,55,80,355,0,0,0,0,0,0,0,0,0,0,7,0,7,0,55.95338,-3.20442
30,2,2,8,3,6,351,2,28,2,3,1125,1125,2.6,1125,0,2,32,304,88,5,0,95,10,10,10,10,9,10,2,2,0,0.91,55.97411,-3.18719
1261,2,2,16,5,16,351,2,300,1,15,1125,1125,2.7,1125,28,54,63,239,126,13,0,93,9,9,10,10,10,9,1,1,0,2.27,55.95233,-3.20009
523,1,1,9,4,6,350,5,20,5,5,20,20,5,20,0,0,0,0,6,0,0,100,10,10,10,10,10,9,1,1,0,0.09,55.93656,-3.20147
607,2,2,7,4,4,350,2,1125,2,7,1125,1125,2.7,1125,29,29,34,303,1,0,0,100,10,8,10,10,8,8,2,2,0,0.04,55.96113,-3.17749
1274,1,1,4,2,3,350,2,1124,2,2,1125,1125,2,1125,9,9,9,9,24,5,0,99,10,10,10,10,10,10,1,1,0,0.44,55.96021,-3.18395
1651,1,1,8,4,4,350,7,40,7,7,40,40,7,40,21,51,81,261,8,0,0,88,9,9,10,9,8,8,1,1,0,0.16,55.92842,-3.18138
2238,2,2,10,5,5,350,1,14,1,1,14,14,1,14,0,0,16,106,34,0,0,96,10,9,10,10,9,10,1,1,0,0.85,55.92701,-3.1655
2277,1,1,9,5,6,350,4,1125,4,4,1125,1125,4,1125,0,0,0,1,23,3,0,98,10,10,10,10,10,9,1,1,0,0.58,55.969,-3.30547
4376,1,1,2,1,1,350,4,1125,4,4,1125,1125,4,1125,0,1,31,306,27,3,0,97,10,9,10,10,9,10,1,1,0,1.33,55.96283,-3.16589
5168,1,1,6,3,2,350,4,6,4,4,6,6,4,6,0,0,0,0,1,0,0,100,10,10,10,10,10,10,1,1,0,0.07,55.93743,-3.19405
5710,0,0,7,3,4,350,4,1125,4,4,1125,1125,4,1125,28,58,88,178,0,0,0,0,0,0,0,0,0,0,1,1,0,0,55.93194,-3.17003
6244,4,4,14,4,13,350,2,1125,2,2,1125,1125,2,1125,8,38,64,312,0,0,0,0,0,0,0,0,0,0,5,5,0,0,55.96356,-3.18003
31,3,3,6,2,4,349,5,365,5,5,365,365,5,365,0,1,1,205,37,1,0,98,10,10,10,10,9,9,2,2,0,0.35,55.98085,-3.193
1471,1,1,8,4,4,343,2,1125,2,2,1125,1125,2,1125,1,1,1,1,67,5,0,100,10,10,10,10,10,10,1,1,0,1.31,55.95556,-3.2001
1965,1,1,8,4,5,343,2,1125,2,3,1125,1125,2,1125,0,0,0,0,101,15,0,99,10,10,10,10,10,10,1,1,0,2.15,55.95595,-3.23807
1223,2,2,8,4,6,342,3,21,1,4,21,21,3,21,3,18,18,168,77,2,0,99,10,10,10,10,10,10,1,1,0,1.41,55.96032,-3.19219
