Player,Club,Position
Zach Sproule,GWS Giants,Key Forward
Kieren Briggs,GWS Giants,Key Forward
Jack Gunston,Hawthorn,Key Forward
Jarryd Roughead,Hawthorn,Key Forward
Tim OBrien,Hawthorn,Key Forward
Conor Nash,Hawthorn,Key Forward
Mitch Lewis,Hawthorn,Key Forward
Ryan Schoenmakers,Hawthorn,Key Forward
Jackson Ross,Hawthorn,Key Forward
Tom McDonald,Melbourne,Key Forward
Sam Weideman,Melbourne,Key Forward
Tim Smith,Melbourne,Key Forward
Declan Keilty,Melbourne,Key Forward
Ben Brown,North Melbourne,Key Forward
Nick Larkey,North Melbourne,Key Forward
Tom Campbell,North Melbourne,Key Forward
Justin Westhoff,Port Adelaide,Key Forward
Charlie Dixon,Port Adelaide,Key Forward
Todd Marshall,Port Adelaide,Key Forward
Peter Ladhams,Port Adelaide,Key Forward
Billy Frampton,Port Adelaide,Key Forward
Jack Riewoldt,Richmond,Key Forward
Tom J. Lynch,Richmond,Key Forward
Noah Balta,Richmond,Key Forward
Josh Bruce,St Kilda,Key Forward
Paddy McCartin,St Kilda,Key Forward
Max King,St Kilda,Key Forward
Jack Mayo,St Kilda,Key Forward
Lance Franklin,Sydney Swans,Key Forward
Sam Reid,Sydney Swans,Key Forward
Tom McCartin,Sydney Swans,Key Forward
Nick Blakey,Sydney Swans,Key Forward
Hayden McLean,Sydney Swans,Key Forward
Kurt Tippett,Sydney Swans,Key Forward
Jack Darling,West Coast Eagles,Key Forward
Josh J. Kennedy,West Coast Eagles,Key Forward
Oscar Allen,West Coast Eagles,Key Forward
Jake Waterman,West Coast Eagles,Key Forward
Fraser McInnes,West Coast Eagles,Key Forward
Jarrod Brander,West Coast Eagles,Key Forward
Patrick Bines,West Coast Eagles,Key Forward
Aaron Naughton,Western Bulldogs,Key Forward
Josh Schache,Western Bulldogs,Key Forward
Fergus Greene,Western Bulldogs,Key Forward
Ryan Gardner,Western Bulldogs,Key Forward
Rory Sloane,Adelaide Crows,Midfielder
Matt Crouch,Adelaide Crows,Midfielder
Paul Seedsman,Adelaide Crows,Midfielder
Bryce Gibbs,Adelaide Crows,Midfielder
Rory Atkins,Adelaide Crows,Midfielder
Cam Ellis-Yolmen,Adelaide Crows,Midfielder
David Mackay,Adelaide Crows,Midfielder
Brad Crouch,Adelaide Crows,Midfielder
Ned McHenry,Adelaide Crows,Midfielder
Lachie Neale,Brisbane Lions,Midfielder
Dayne Zorko,Brisbane Lions,Midfielder
Jarryd Lyons,Brisbane Lions,Midfielder
Mitch Robinson,Brisbane Lions,Midfielder
Hugh McCluggage,Brisbane Lions,Midfielder
Jarrod Berry,Brisbane Lions,Midfielder
Tom Cutler,Brisbane Lions,Midfielder
Ryan Bastinac,Brisbane Lions,Midfielder
Jacob Allison,Brisbane Lions,Midfielder
Mitch Hinge,Brisbane Lions,Midfielder
Tom Joyce,Brisbane Lions,Midfielder
Corey Lyons,Brisbane Lions,Midfielder
Patrick Cripps,Carlton,Midfielder
Ed Curnow,Carlton,Midfielder
Marc Murphy,Carlton,Midfielder
Sam Walsh,Carlton,Midfielder
Lochie OBrien,Carlton,Midfielder
Angus Schumacher,Carlton,Midfielder
Adam Treloar,Collingwood,Midfielder
Scott Pendlebury,Collingwood,Midfielder
Steele Sidebottom,Collingwood,Midfielder
Taylor Adams,Collingwood,Midfielder
Tom Phillips,Collingwood,Midfielder
Dayne Beams,Collingwood,Midfielder
Chris Mayne,Collingwood,Midfielder
Brayden Sier,Collingwood,Midfielder
Tyler Brown,Collingwood,Midfielder
Zach Merrett,Essendon,Midfielder
Dylan Shiel,Essendon,Midfielder
Dyson Heppell,Essendon,Midfielder
Andrew McGrath,Essendon,Midfielder
David Zaharakis,Essendon,Midfielder
David Myers,Essendon,Midfielder
Matt Guelfi,Essendon,Midfielder
Dylan Clarke,Essendon,Midfielder
Will Snelling,Essendon,Midfielder
Kobe Mutch,Essendon,Midfielder
Tom Jok,Essendon,Midfielder
Trent Mynott,Essendon,Midfielder
Nat Fyfe,Fremantle,Midfielder
David Mundy,Fremantle,Midfielder
Ed Langdon,Fremantle,Midfielder
Bradley Hill,Fremantle,Midfielder
Reece Conca,Fremantle,Midfielder
